month,installer,num_downloads
2024-01-01 00:00:00.000000 UTC,pip,195135
2024-01-01 00:00:00.000000 UTC,requests,17320
2024-01-01 00:00:00.000000 UTC,poetry,13041
2024-01-01 00:00:00.000000 UTC,bandersnatch,3630
2024-01-01 00:00:00.000000 UTC,Nexus,2131
2024-01-01 00:00:00.000000 UTC,,1516
2024-01-01 00:00:00.000000 UTC,Browser,1159
2024-01-01 00:00:00.000000 UTC,pdm,580
2024-01-01 00:00:00.000000 UTC,OS,35
2024-01-01 00:00:00.000000 UTC,setuptools,31
2024-01-01 00:00:00.000000 UTC,devpi,11
2024-01-01 00:00:00.000000 UTC,conda,5
2024-02-01 00:00:00.000000 UTC,pip,192916
2024-02-01 00:00:00.000000 UTC,poetry,15444
2024-02-01 00:00:00.000000 UTC,requests,15261
2024-02-01 00:00:00.000000 UTC,,4930
2024-02-01 00:00:00.000000 UTC,bandersnatch,4598
2024-02-01 00:00:00.000000 UTC,Nexus,1648
2024-02-01 00:00:00.000000 UTC,pdm,595
2024-02-01 00:00:00.000000 UTC,Browser,566
2024-02-01 00:00:00.000000 UTC,devpi,109
2024-02-01 00:00:00.000000 UTC,OS,58
2024-02-01 00:00:00.000000 UTC,conda,8
2024-02-01 00:00:00.000000 UTC,setuptools,6
2024-02-01 00:00:00.000000 UTC,Artifactory,1
2024-03-01 00:00:00.000000 UTC,pip,188733
2024-03-01 00:00:00.000000 UTC,poetry,21879
2024-03-01 00:00:00.000000 UTC,,10946
2024-03-01 00:00:00.000000 UTC,requests,10431
2024-03-01 00:00:00.000000 UTC,bandersnatch,3663
2024-03-01 00:00:00.000000 UTC,Nexus,1410
2024-03-01 00:00:00.000000 UTC,Browser,717
2024-03-01 00:00:00.000000 UTC,pdm,528
2024-03-01 00:00:00.000000 UTC,OS,65
2024-03-01 00:00:00.000000 UTC,setuptools,32
2024-03-01 00:00:00.000000 UTC,devpi,8
2024-04-01 00:00:00.000000 UTC,pip,198626
2024-04-01 00:00:00.000000 UTC,poetry,22953
2024-04-01 00:00:00.000000 UTC,requests,11633
2024-04-01 00:00:00.000000 UTC,bandersnatch,5518
2024-04-01 00:00:00.000000 UTC,,3476
2024-04-01 00:00:00.000000 UTC,Browser,2758
2024-04-01 00:00:00.000000 UTC,Nexus,2104
2024-04-01 00:00:00.000000 UTC,uv,1089
2024-04-01 00:00:00.000000 UTC,pdm,264
2024-04-01 00:00:00.000000 UTC,OS,71
2024-04-01 00:00:00.000000 UTC,setuptools,17
2024-04-01 00:00:00.000000 UTC,devpi,16
2024-04-01 00:00:00.000000 UTC,conda,6
2024-05-01 00:00:00.000000 UTC,pip,212287
2024-05-01 00:00:00.000000 UTC,poetry,24414
2024-05-01 00:00:00.000000 UTC,requests,7388
2024-05-01 00:00:00.000000 UTC,uv,6727
2024-05-01 00:00:00.000000 UTC,bandersnatch,4511
2024-05-01 00:00:00.000000 UTC,Browser,3566
2024-05-01 00:00:00.000000 UTC,,1601
2024-05-01 00:00:00.000000 UTC,Nexus,1370
2024-05-01 00:00:00.000000 UTC,pdm,242
2024-05-01 00:00:00.000000 UTC,OS,39
2024-05-01 00:00:00.000000 UTC,conda,13
2024-05-01 00:00:00.000000 UTC,devpi,11
2024-05-01 00:00:00.000000 UTC,Artifactory,1
2024-05-01 00:00:00.000000 UTC,setuptools,1
2024-06-01 00:00:00.000000 UTC,pip,196752
2024-06-01 00:00:00.000000 UTC,poetry,24949
2024-06-01 00:00:00.000000 UTC,uv,15984
2024-06-01 00:00:00.000000 UTC,requests,6304
2024-06-01 00:00:00.000000 UTC,bandersnatch,3441
2024-06-01 00:00:00.000000 UTC,Nexus,1712
2024-06-01 00:00:00.000000 UTC,,1566
2024-06-01 00:00:00.000000 UTC,Browser,1274
2024-06-01 00:00:00.000000 UTC,pdm,368
2024-06-01 00:00:00.000000 UTC,OS,42
2024-06-01 00:00:00.000000 UTC,devpi,6
2024-07-01 00:00:00.000000 UTC,uv,565531
2024-07-01 00:00:00.000000 UTC,pip,230611
2024-07-01 00:00:00.000000 UTC,poetry,29661
2024-07-01 00:00:00.000000 UTC,requests,7214
2024-07-01 00:00:00.000000 UTC,bandersnatch,4020
2024-07-01 00:00:00.000000 UTC,Browser,2670
2024-07-01 00:00:00.000000 UTC,,1635
2024-07-01 00:00:00.000000 UTC,Nexus,1588
2024-07-01 00:00:00.000000 UTC,pdm,542
2024-07-01 00:00:00.000000 UTC,OS,62
2024-07-01 00:00:00.000000 UTC,devpi,18
2024-07-01 00:00:00.000000 UTC,conda,3
2024-07-01 00:00:00.000000 UTC,Artifactory,1
2024-08-01 00:00:00.000000 UTC,uv,493784
2024-08-01 00:00:00.000000 UTC,pip,202128
2024-08-01 00:00:00.000000 UTC,poetry,28644
